Němčina;Čeština;Profese
der Feuerlöscher;hasicí přístroj;obecné
der Unfall;úraz;obecné
die Warnweste;výstražná vesta;obecné
die Schutzbrille;ochranné brýle;obecné
die Vorschrift;předpis;obecné
die Sicherheit;bezpečnost;obecné
das Fließband;výrobní pás;obecné
die Reparatur;oprava;obecné
die Störung;porucha;obecné
der Defekt;závada;obecné
die Schraube;šroub;obecné
die Bohrmaschine;vrtačka;obecné
die Qualität;kvalita;obecné
das Material;materiál;obecné
die Sicherheitsschuhe;bezpečnostní boty;obecné
die Werkstatt;dílna;obecné
der Moment;moment / chvilka;obecné
die Zeit;čas;obecné
die Maschine;stroj;obecné
das Teil;díl / součástka;obecné
das Förderband;výrobní pás;obecné
die Quote;kvóta;obecné
die Stunde;hodina;obecné
der Schichtbetrieb;směnný provoz;obecné
die Schutzkleidung;ochranný oděv;obecné
die Werkzeuge;nářadí;obecné
der Helm;helma;zedník
der Hammer;kladivo;zedník
das Brett;deska / prkno;truhlář
das Eichenholz;dubové dřevo;truhlář
das Holz;dřevo;truhlář
die Verarbeitung;zpracování;truhlář
die Kanten;hrany;truhlář
die Säge;pila;truhlář
der Leim;lepidlo;truhlář
das Gerüst;lešení;zedník
der Zement;cement;zedník
die Pläne;plány;zedník
das Erdgeschoss;přízemí;obecné
der Mörtel;malta;zedník
die Mauer;zeď;zedník
die Baustelle;stavba (místo);zedník
der Patient;pacient;sestřička
das Fieber;teplota / horečka;sestřička
die Medikamente;léky;sestřička
das Blut;krev;sestřička
die Schmerzen;bolesti;sestřička
der Schwindel;závrať;sestřička
der Arzt;lékař;sestřička
die Visite;vizita;sestřička
das Tagesmenü;denní menu;kuchař
das Gericht;jídlo / pokrm;kuchař
das Fleisch;maso;kuchař
das Messer;nůž;kuchař
die Pfanne;pánev;kuchař
der Kochtopf;hrnec;kuchař
die Suppe;polévka;kuchař
die Kräuter;bylinky;kuchař
die Soße;omáčka;kuchař
das Gemüse;zelenina;kuchař
der Kühlraum;chladicí místnost / box;kuchař
der Knoblauch;česnek;kuchař
der Küchenchef;šéfkuchař;kuchař
die Vorspeise;předkrm;kuchař
das Hauptgericht;hlavní chod;kuchař
der Teller;talíř;číšník
der Nachtisch;dezert;číšník
das Besteck;příbor;číšník
das Glas;sklenice;číšník
die Serviette;ubrousek;číšník
die Tischdecke;ubrus;číšník
das Trinkgeld;spropitné;číšník
die Allergie;alergie;číšník
das Bier;pivo;číšník
die Speisekarte;jídelní lístek;číšník
die Rechnung;účet / faktura;číšník
die Kasse;pokladna;pokladní
der Kassenbon;účtenka;pokladní
die Kundenkarte;zákaznická karta;pokladní
das Wechselgeld;peníze nazpět;pokladní
das Kleingeld;drobné;pokladní
der Einkaufswagen;nákupní vozík;pokladní
der Einkaufskorb;nákupní košík;pokladní
die Ware;zboží;pokladní
das Angebot;nabídka / akce;pokladní
der Rabatt;sleva;pokladní
die Tüte;taška (igelitová/papírová);pokladní
das Pfand;záloha (za láhve);pokladní
die Tiefkühlkost;mražené potraviny;pokladní
die Molkereiprodukte;mléčné výrobky;pokladní
die Bäckerei;pekařství;pokladní
das Haltbarkeitsdatum;datum trvanlivosti;pokladní
der Barcode;čárový kód;pokladní
das Lager;sklad;pokladní
der Kunde;zákazník;pokladní
der Staubsauger;vysavač;uklízečka
der Wischer;mop / stěrač;uklízečka
das Reinigungsmittel;čisticí prostředek;uklízečka
der Eimer;kýbl;uklízečka
der Lappen;hadr;uklízečka
der Besen;koště;uklízečka
der Staub;prach;uklízečka
der Müll;odpadky;uklízečka
die Mülltonne;popelnice;uklízečka
das Fensterleder;jelenice na okna;uklízečka
der Schwamm;houbička;uklízečka
das Waschbecken;umyvadlo;uklízečka
die Toilette;toaleta;uklízečka
das Treppenhaus;schodiště;uklízečka
der Stock;patro;uklízečka
die Seife;mýdlo;uklízečka
das Toilettenpapier;toaletní papír;uklízečka
der Schmutz;špína;uklízečka
der Besprechungsraum;jednací místnost;uklízečka
die Handschuhe;rukavice;uklízečka
Ich spreche Deutsch.;Já mluvím německy.;obecné
Er liest ein Buch.;On čte knihu.;obecné
Wir gehen nach Hause.;My jdeme domů.;obecné
Sie trinkt Kaffee.;Ona pije kávu.;obecné
Du läufst sehr schnell.;Ty běžíš velmi rychle.;obecné
Ich bin müde.;Já jsem unavený/á.;obecné
Er ist Lehrer.;On je učitel.;obecné
Wir sind Studenten.;My jsme studenti.;obecné
Sie hat eine Katze.;Ona má kočku.;obecné
Du hast Hunger.;Ty máš hlad.;obecné
Ich höre gern Musik.;Já rád/a poslouchám hudbu.;obecné
Er spielt Fußball.;On hraje fotbal.;obecné
Wir gehen ins Kino.;My jdeme do kina.;obecné
Sie kocht sehr gut.;Ona vaří velmi dobře.;obecné
Du singst schön.;Ty zpíváš krásně.;obecné
Ich trinke Wasser.;Já piji vodu.;obecné
Er öffnet die Tür.;On otevírá dveře.;obecné
Wir lernen Deutsch.;My se učíme německy.;obecné
Sie schließt das Fenster.;Ona zavírá okno.;obecné
Du hilfst mir.;Ty mi pomáháš.;obecné
Wann fängst du an zu arbeiten?;Kdy začínáš pracovat?;obecné
Hast du heute viel Arbeit?;Máš dnes hodně práce?;obecné
Kannst du mir damit helfen?;Můžeš mi s tím pomoct?;obecné
Wer ist dafür verantwortlich?;Kdo je za to zodpovědný?;obecné
Ich brauche mehr Zeit.;Potřebuji více času.;obecné
Das ist nicht meine Verantwortung.;To není moje zodpovědnost.;obecné
Ich habe einen Fehler gemacht.;Udělal jsem chybu.;obecné
Wo sind die Schutzhandschuhe?;Kde jsou ochranné rukavice?;obecné
Muss ich eine Schutzbrille tragen?;Musím nosit ochranné brýle?;obecné
Das ist gefährlich.;To je nebezpečné.;obecné
Pass auf!;Dávej pozor!;obecné
Die Maschine ist kaputt.;Ten stroj je rozbitý.;obecné
Wer ist für die Sicherheit verantwortlich?;Kdo je zodpovědný za bezpečnost?;obecné
Wir sollten das melden.;Měli bychom to nahlásit.;obecné
Ich brauche eine Sicherheitsschulung.;Potřebuji bezpečnostní školení.;obecné
Kannst du die Maschine ausschalten?;Můžeš vypnout ten stroj?;obecné
Kannst du mir das erklären?;Můžeš mi to vysvětlit?;obecné
Ich bin nicht deiner Meinung.;Nesouhlasím s tebou.;obecné
Das ist keine gute Idee.;To není dobrý nápad.;obecné
Hast du heute Zeit?;Máš dnes čas?;obecné
Machen wir das zusammen?;Uděláme to společně?;obecné
Das ist nicht fair.;To není fér.;obecné
Das ist nicht mein Problem.;To není můj problém.;obecné
Können wir eine Lösung finden?;Můžeme najít řešení?;obecné
Warum hast du das gemacht?;Proč jsi to udělal?;obecné
Das war ein Missverständnis.;To bylo nedorozumění.;obecné
Ich habe eine Frage.;Mám otázku.;obecné
Ich brauche Urlaub.;Potřebuji dovolenou.;obecné
Mein Kind ist krank.;Moje dítě je nemocné.;obecné
Ich bin damit nicht zufrieden.;Nejsem s tím spokojený.;obecné
Ich entschuldige mich für den Fehler.;Omlouvám se za chybu.;obecné
Ich bin gleich fertig.;Budu hned hotov.;obecné
Das ist ein technisches Problem.;To je technický problém.;obecné
Ich melde mich später bei Ihnen.;Ozvu se Vám později.;obecné
Die Maschine muss sofort gestoppt werden.;Ten stroj se musí okamžitě zastavit.;obecné
Leg das Teil auf das Förderband.;Polož ten díl na dopravní pás.;obecné
Wir müssen die Quote pro Stunde einhalten.;Musíme dodržet kvótu za hodinu.;obecné
Wir arbeiten im Schichtbetrieb.;Pracujeme na směny.;obecné
Ist die Schutzkleidung obligatorisch?;Je ochranný oděv povinný?;obecné
Die Werkzeuge müssen gereinigt werden.;Nářadí se musí vyčistit.;obecné
Ich brauche eine kurze Pause.;Potřebuji krátkou pauzu.;obecné
Kontrollieren Sie bitte die Qualität der Teile.;Zkontrolujte prosím kvalitu těch dílů.;obecné
Das Material ist fast leer; wir müssen neues bestellen.;Materiál skoro došel; musíme objednat nový.;obecné
Haben Sie die Sicherheitsschuhe angezogen?;Máte obuté bezpečnostní boty?;obecné
Können Sie mir beim Tragen helfen?;Můžete mi pomoci s nošením?;obecné
Wer hat heute Abend die Nachtschicht?;Kdo má dnes večer noční směnu?;obecné
Wir müssen die Werkstatt sauber machen.;Musíme uklidit dílnu.;obecné
Haben Sie einen Moment Zeit für mich?;Máte na mě chvilku čas?;obecné
Ich schicke dir die Einladung zum Meeting.;Posílám ti pozvánku na schůzku.;kancelář
Können wir den Termin verschieben?;Můžeme ten termín posunout?;kancelář
Ich bin heute im Homeoffice.;Dnes jsem na home office.;kancelář
Haben wir dazu schon eine Entscheidung?;Máme k tomu už nějaké rozhodnutí?;kancelář
Ich kümmere mich darum.;Postarám se o to.;kancelář
Das Projekt hat hohe Priorität.;Tento projekt má vysokou prioritu.;kancelář
Schreib mir bitte eine kurze E-Mail.;Napiš mi prosím krátký e-mail.;kancelář
Ich brauche dein Feedback zu diesem Entwurf.;Potřebuji tvoji zpětnou vazbu k tomuto návrhu.;kancelář
Wie ist der aktuelle Status?;Jaký je aktuální stav?;kancelář
Wir müssen die Kosten senken.;Musíme snížit náklady.;kancelář
Ich habe eine Frage zur Rechnung.;Mám dotaz k faktuře.;kancelář
Unser Team arbeitet sehr effizient.;Náš tým pracuje velmi efektivně.;kancelář
Kannst du mir die Unterlagen schicken?;Můžeš mi poslat ty podklady?;kancelář
Wir besprechen das beim nächsten Mal.;Probereme to příště.;kancelář
Die Deadline ist morgen Mittag.;Termín (deadline) je zítra v poledne.;kancelář
Vielen Dank für die gute Zusammenarbeit.;Děkuji moc za dobrou spolupráci.;kancelář
Wo finde ich das Dokument?;Kde najdu ten dokument?;kancelář
Dieses Holz ist zu feucht für die Verarbeitung.;Toto dřevo je příliš vlhké na zpracování.;truhlář
Ich muss die Kanten noch schleifen.;Musím ještě zbrousit hrany.;truhlář
Wo ist die Säge und der Leim?;Kde je pila a lepidlo?;truhlář
Ich habe das Brett falsch zugeschnitten.;Špatně jsem tu desku uřízl.;truhlář
Der Schrank ist aus massivem Eichenholz.;Ta skříň je z masivního dubového dřeva.;truhlář
Misch bitte den Mörtel an.;Namíchej prosím maltu.;zedník
Die Mauer muss genau gerade sein.;Ta zeď musí být přesně rovná.;zedník
Tragen Sie auf der Baustelle immer einen Helm.;Na stavbě noste vždy helmu.;zedník
Wir bauen heute das Gerüst auf.;Dnes stavíme lešení.;zedník
Der Zement muss noch zwei Stunden trocknen.;Cement musí ještě dvě hodiny schnout.;zedník
Wo sind die Pläne für das Erdgeschoss?;Kde jsou plány pro přízemí?;zedník
Geben Sie mir bitte den Hammer.;Dejte mi prosím to kladivo.;zedník
Ich muss Ihnen Blut abnehmen.;Musím vám odebrat krev.;sestřička
Haben Sie Schmerzen oder Schwindel?;Máte bolesti nebo závratě?;sestřička
Der Arzt kommt gleich zur Visite.;Lékař přijde hned na vizitu.;sestřička
Ich muss bei diesem Patienten Fieber messen.;Musím tomuto pacientovi změřit teplotu.;sestřička
Haben Sie Ihre Medikamente schon genommen?;Už jste si vzal své léky?;sestřička
Ich helfe Ihnen beim Aufstehen.;Pomůžu vám se vstáváním.;sestřička
Das Messer muss sehr scharf sein.;Ten nůž musí být velmi ostrý.;kuchař
Ich brate das Fleisch in der Pfanne.;Smažím to maso na pánvi.;kuchař
Die Suppe schmeckt ein bisschen zu salzig.;Ta polévka chutná trochu moc slaně.;kuchař
Stellen Sie die Teller in den Wärmeschrank.;Dejte ty talíře do ohřívací skříně.;kuchař
Wo sind die frischen Kräuter für die Soße?;Kde jsou čerstvé bylinky do té omáčky?;kuchař
Ich muss das Gemüse noch putzen und schneiden.;Musím ještě očistit a nakrájet zeleninu.;kuchař
Haben wir noch genug Vorräte im Kühlraum?;Máme ještě dost zásob v chladicím boxu?;kuchař
Die Bestellung für Tisch Nummer fünf ist fertig.;Objednávka pro stůl číslo pět je hotová.;kuchař
Ist in diesem Gericht Knoblauch enthalten?;Je v tomto jídle obsažen česnek?;kuchař
Ist in diesem Gericht Fleisch enthalten?;Obsahuje toto jídlo maso?;kuchař
Haben Sie schon bestellt?;Máte už objednáno?;číšník
Ein großes Bier und die Speisekarte bitte.;Jedno velké pivo a jídelní lístek; prosím.;číšník
Hat es Ihnen geschmeckt?;Chutnalo vám?;číšník
Ich bringe Ihnen sofort die Rechnung.;Hned vám přinesu účet.;číšník
Der Tisch am Fenster ist reserviert.;Stůl u okna je rezervovaný.;číšník
Möchten Sie zusammen oder getrennt bezahlen?;Chcete platit dohromady; nebo zvlášť?;číšník
Ich empfehle Ihnen das Tagesmenü.;Doporučuji vám denní menu.;číšník
Möchten Sie schon einen Nachtisch bestellen?;Chcete si už objednat dezert?;číšník
Ich decke den Tisch für vier Personen.;Prostírám stůl pro čtyři osoby.;číšník
Bringen Sie dem Gast bitte ein neues Besteck.;Přineste prosím hostovi nový příbor.;číšník
Die Gläser müssen poliert werden.;Ty sklenice se musí vyleštit.;číšník
Wir haben heute eine Empfehlung vom Küchenchef.;Dnes máme doporučení od šéfkuchaře.;číšník
Ich nehme die Getränkebestellung auf.;Přijmu objednávku na nápoje.;číšník
Guten Tag; haben Sie eine Kundenkarte?;Dobrý den; máte zákaznickou kartu?;pokladní
Das macht zusammen achtundzwanzig Euro.;Dělí to dohromady dvacet osm euro.;pokladní
Zahlen Sie bar oder mit Karte?;Platíte hotově; nebo kartou?;pokladní
Brauchen Sie den Kassenbon?;Potřebujete účtenku?;pokladní
Obst und Gemüse müssen Sie dort abwiegen.;Ovoce a zeleninu musíte zvážit tamto.;pokladní
Können Sie bitte eine zweite Kasse öffnen?;Můžete prosím otevřít druhou pokladnu?;pokladní
Dieses Produkt ist leider ausverkauft.;Tento produkt je bohužel vyprodaný.;pokladní
Das Mindesthaltbarkeitsdatum ist abgelaufen.;Datum minimální trvanlivosti vypršelo.;pokladní
Vorsicht; der Boden ist frisch gewischt.;Pozor; podlaha je čerstvě vytřená.;pokladní
Wir müssen die Regale neu auffüllen.;Musíme znovu doplnit regály.;pokladní
Suchen Sie ein bestimmtes Produkt?;Hledáte nějaký konkrétní produkt?;pokladní
Die Pfandflaschen können Sie dort abgeben.;Zálohované láhve můžete odevzdat tamto.;pokladní
Haben Sie noch Kleingeld?;Máte ještě drobné?;pokladní
Das Angebot gilt nur bis Samstag.;Tato nabídka platí jen do soboty.;pokladní
Entschuldigung; wo finde ich das Waschmittel?;Omlouvám se; kde najdu prací prášek?;pokladní
Ich fange heute im ersten Stock an.;Dnes začnu v prvním patře.;uklízečka
Der Müll muss jeden Abend geleert werden.;Odpadky se musí vynášet každý večer.;uklízečka
Wo stehen der Staubsauger und der Wischer?;Kde stojí vysavač a mop?;uklízečka
Der Boden ist nass; bitte seien Sie vorsichtig.;Podlaha je mokrá; buďte prosím opatrní.;uklízečka
Ich habe alle Fenster im Büro geputzt.;Umyl(a) jsem všechna okna v kanceláři.;uklízečka
Die Reinigungsmittel sind fast leer.;Čisticí prostředky jsou skoro pryč (spotřebované).;uklízečka
Können Sie mir bitte neue Lappen geben?;Můžete mi prosím dát nové hadry?;uklízečka
Muss ich heute auch den Teppich reinigen?;Musím dnes vyčistit i ten koberec?;uklízečka
Bitte benutzen Sie diesen Reiniger für das Bad.;Prosím; používejte tento čistič na koupelnu.;uklízečka
Ich bin fertig mit dem Treppenhaus.;Jsem hotov(a) se schodištěm.;uklízečka
Gibt es einen Schlüssel für diesen Raum?;Existuje od této místnosti klíč?;uklízečka
Ich habe den Staub auf den Regalen gewischt.;Utřel(a) jsem prach na regálech.;uklízečka
Das Waschbecken ist leider verstopft.;Umyvadlo je bohužel ucpané.;uklízečka
Wir brauchen mehr Seife und Toilettenpapier.;Potřebujeme víc mýdla a toaletního papíru.;uklízečka
Haben Sie noch spezielle Wünsche für heute?;Máte pro dnešek ještě nějaká speciální přání?;uklízečka
der Motor;motor;automechanik
die Bremse;brzda;automechanik
der Reifen;pneumatika;automechanik
das Werkzeug;nářadí;automechanik
Ich muss das Öl wechseln.;Musím vyměnit olej.;automechanik
Die Batterie ist leer.;Baterie je vybitá.;automechanik
Können Sie den Reifendruck prüfen?;Můžete zkontrolovat tlak v pneumatikách?;automechanik
der Baum;strom;zahradník
die Schaufel;lopata;zahradník
die Gießkanne;konve;zahradník
der Rasenmäher;sekačka na trávu;zahradník
die Erde;hlína / zemina;zahradník
der Zaun;plot;zahradník
Ich muss die Pflanzen gießen.;Musím zalít rostliny.;zahradník
Wir schneiden heute die Hecke.;Dnes stříháme živý plot.;zahradník
Der Rasen muss gemäht werden.;Trávník se musí posekat.;zahradník
Haben Sie Dünger für die Rosen?;Máte hnojivo na růže?;zahradník
Ich pflanze einen neuen Baum im Garten.;Sázím na zahradě nový strom.;zahradník
